Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade
São José do Ouro (RS),453,"0,755",297,"0,759",731,"0,669",901,"0,846"
Constantina (RS),467,"0,754",897,"0,726",738,"0,668",40,"0,885"
Flores da Cunha (RS),467,"0,754",97,"0,786",1157,"0,642",759,"0,849"
Esteio (RS),467,"0,754",194,"0,769",829,"0,662",1032,"0,843"
São Vendelino (RS),467,"0,754",548,"0,743",620,"0,677",643,"0,852"
Nicolau Vergueiro (RS),488,"0,753",179,"0,772",870,"0,66",1238,"0,839"
Estação (RS),488,"0,753",375,"0,752",668,"0,674",1032,"0,843"
Salvador das Missões (RS),488,"0,753",1293,"0,71",282,"0,706",702,"0,851"
Ajuricaba (RS),488,"0,753",252,"0,763",898,"0,658",722,"0,85"
Westfalia (RS),508,"0,752",61,"0,796",1395,"0,63",759,"0,849"
Severiano de Almeida (RS),508,"0,752",639,"0,738",719,"0,67",390,"0,861"
Monte Belo do Sul (RS),508,"0,752",375,"0,752",815,"0,663",643,"0,852"
Sertão (RS),526,"0,751",494,"0,746",606,"0,678",1315,"0,837"
Osório (RS),526,"0,751",194,"0,769",1082,"0,646",610,"0,853"
Feliz (RS),551,"0,75",303,"0,758",898,"0,658",846,"0,847"
Água Santa (RS),551,"0,75",18,"0,84",2157,"0,59",722,"0,85"
Cruz Alta (RS),551,"0,75",349,"0,754",982,"0,653",473,"0,858"
Canoas (RS),551,"0,75",202,"0,768",1271,"0,636",319,"0,864"
Pareci Novo (RS),562,"0,749",639,"0,738",738,"0,668",643,"0,852"
Linha Nova (RS),562,"0,749",398,"0,751",829,"0,662",901,"0,846"
Harmonia (RS),562,"0,749",462,"0,748",738,"0,668",1128,"0,841"
Canela (RS),583,"0,748",639,"0,738",758,"0,667",759,"0,849"
São João do Polêsine (RS),583,"0,748",462,"0,748",849,"0,661",846,"0,847"
Barão (RS),583,"0,748",213,"0,767",995,"0,652",1370,"0,836"
Charqueadas (RS),599,"0,747",897,"0,726",883,"0,659",204,"0,87"
Alto Alegre (RS),599,"0,747",321,"0,756",1157,"0,642",451,"0,859"
Tapera (RS),599,"0,747",548,"0,743",697,"0,672",1419,"0,835"
Teutônia (RS),599,"0,747",398,"0,751",1020,"0,65",551,"0,855"
São José do Inhacorá (RS),599,"0,747",961,"0,723",331,"0,702",2064,"0,822"
Tucunduva (RS),599,"0,747",462,"0,748",560,"0,682",2357,"0,816"
Condor (RS),599,"0,747",715,"0,735",768,"0,666",643,"0,852"
Sananduva (RS),599,"0,747",241,"0,764",1068,"0,647",1032,"0,843"
Novo Hamburgo (RS),599,"0,747",141,"0,778",1416,"0,629",643,"0,852"
Nova Bassano (RS),599,"0,747",141,"0,778",1350,"0,632",759,"0,849"
Capitão (RS),628,"0,746",478,"0,747",849,"0,661",1075,"0,842"
Getúlio Vargas (RS),628,"0,746",478,"0,747",898,"0,658",1032,"0,843"
Coqueiros do Sul (RS),628,"0,746",44,"0,806",1703,"0,614",1183,"0,84"
Muçum (RS),628,"0,746",316,"0,757",966,"0,654",1183,"0,84"
Mato Leitão (RS),628,"0,746",1008,"0,721",634,"0,676",610,"0,853"
Santa Tereza (RS),628,"0,746",232,"0,765",1248,"0,637",610,"0,853"
Bom Princípio (RS),628,"0,746",398,"0,751",849,"0,661",1370,"0,836"
Bozano (RS),648,"0,745",175,"0,773",1433,"0,628",610,"0,853"
Campo Bom (RS),648,"0,745",335,"0,755",1133,"0,643",643,"0,852"
Coronel Barros (RS),667,"0,744",70,"0,793",1766,"0,61",643,"0,852"
Poço das Antas (RS),667,"0,744",565,"0,742",1308,"0,634",110,"0,877"
Rio Grande (RS),667,"0,744",375,"0,752",1248,"0,637",390,"0,861"
Nova Palma (RS),667,"0,744",266,"0,762",1133,"0,643",1128,"0,841"
Uruguaiana (RS),667,"0,744",989,"0,722",849,"0,661",343,"0,863"
Augusto Pestana (RS),695,"0,743",137,"0,779",1577,"0,621",846,"0,847"
Sobradinho (RS),695,"0,743",715,"0,735",1068,"0,647",390,"0,861"
Morro Reuter (RS),695,"0,743",765,"0,733",982,"0,653",473,"0,858"
Imigrante (RS),695,"0,743",241,"0,764",1295,"0,635",986,"0,844"
Capão da Canoa (RS),695,"0,743",321,"0,756",1248,"0,637",643,"0,852"
Dois Irmãos (RS),695,"0,743",252,"0,763",1329,"0,633",792,"0,848"
Silveira Martins (RS),719,"0,742",532,"0,744",1112,"0,644",643,"0,852"
Vila Flores (RS),719,"0,742",918,"0,725",1020,"0,65",257,"0,867"
Cachoeira do Sul (RS),719,"0,742",621,"0,739",1050,"0,648",581,"0,854"
Tio Hugo (RS),719,"0,742",1318,"0,709",560,"0,682",943,"0,845"
Nova Ramada (RS),719,"0,742",375,"0,752",1157,"0,642",846,"0,847"
Cotiporã (RS),743,"0,741",213,"0,767",1271,"0,636",1419,"0,835"
Pejuçara (RS),743,"0,741",937,"0,724",1050,"0,648",257,"0,867"
São Luiz Gonzaga (RS),743,"0,741",1091,"0,718",802,"0,664",551,"0,855"
Nova Roma do Sul (RS),743,"0,741",66,"0,794",1921,"0,602",702,"0,851"
Almirante Tamandaré do Sul (RS),764,"0,74",784,"0,732",731,"0,669",1747,"0,828"
Alegrete (RS),764,"0,74",1039,"0,72",802,"0,664",759,"0,849"
Arroio do Sal (RS),764,"0,74",596,"0,74",1032,"0,649",986,"0,844"
Bagé (RS),764,"0,74",621,"0,739",1068,"0,647",792,"0,848"
Santa Clara do Sul (RS),764,"0,74",478,"0,747",1112,"0,644",1032,"0,843"
Salvador do Sul (RS),764,"0,74",415,"0,75",1176,"0,641",1032,"0,843"
Nova Alvorada (RS),764,"0,74",252,"0,763",1308,"0,634",1281,"0,838"
Anta Gorda (RS),764,"0,74",565,"0,742",1395,"0,63",238,"0,868"
Vista Alegre (RS),795,"0,739",291,"0,76",1370,"0,631",1075,"0,842"
Ibiaçá (RS),795,"0,739",223,"0,766",2084,"0,593",18,"0,888"
São Pedro da Serra (RS),795,"0,739",462,"0,748",1308,"0,634",702,"0,851"
Catuípe (RS),795,"0,739",252,"0,763",1457,"0,627",1075,"0,842"
Santo Augusto (RS),795,"0,739",360,"0,753",1248,"0,637",1183,"0,84"
Bom Retiro do Sul (RS),795,"0,739",918,"0,725",1032,"0,649",501,"0,857"
Carlos Gomes (RS),795,"0,739",784,"0,732",1556,"0,622",22,"0,886"
São Leopoldo (RS),795,"0,739",223,"0,766",1727,"0,612",390,"0,861"
Pelotas (RS),795,"0,739",303,"0,758",1350,"0,632",986,"0,844"
Taquaruçu do Sul (RS),795,"0,739",202,"0,768",1329,"0,633",1647,"0,83"
São Sebastião do Caí (RS),795,"0,739",739,"0,734",1082,"0,646",643,"0,852"
Humaitá (RS),823,"0,738",784,"0,732",914,"0,657",1315,"0,837"
Campina das Missões (RS),823,"0,738",1649,"0,698",620,"0,677",759,"0,849"
Gaurama (RS),823,"0,738",765,"0,733",1133,"0,643",643,"0,852"
Lagoa Vermelha (RS),823,"0,738",739,"0,734",1593,"0,62",40,"0,885"
Santo Cristo (RS),823,"0,738",494,"0,746",930,"0,656",2161,"0,82"
Guarani das Missões (RS),850,"0,737",1649,"0,698",787,"0,665",343,"0,863"
Vale Real (RS),850,"0,737",621,"0,739",1271,"0,636",722,"0,85"
Vera Cruz (RS),850,"0,737",639,"0,738",1133,"0,643",1075,"0,842"
Palmeira das Missões (RS),850,"0,737",989,"0,722",758,"0,667",1603,"0,831"
São Borja (RS),876,"0,736",1039,"0,72",1133,"0,643",425,"0,86"
Gravataí (RS),876,"0,736",870,"0,727",1271,"0,636",372,"0,862"
Camargo (RS),876,"0,736",266,"0,762",1727,"0,612",581,"0,854"
Nova Esperança do Sul (RS),897,"0,735",961,"0,723",1068,"0,647",792,"0,848"
Xangri-Lá (RS),897,"0,735",596,"0,74",1395,"0,63",643,"0,852"
Alto Feliz (RS),920,"0,734",596,"0,74",1904,"0,603",22,"0,886"
Barra do Guarita (RS),920,"0,734",1707,"0,696",697,"0,672",943,"0,845"
União da Serra (RS),940,"0,733",97,"0,786",2210,"0,587",643,"0,852"
Gentil (RS),940,"0,733",1293,"0,71",1133,"0,643",343,"0,863"
Taquari (RS),940,"0,733",665,"0,737",1416,"0,629",759,"0,849"
Triunfo (RS),940,"0,733",1111,"0,717",1416,"0,629",147,"0,873"
Protásio Alves (RS),940,"0,733",187,"0,771",1782,"0,609",1238,"0,839"
São Jorge (RS),965,"0,732",415,"0,75",1649,"0,617",901,"0,846"
Santo Expedito do Sul (RS),965,"0,732",2182,"0,679",620,"0,677",610,"0,853"
Chiapetta (RS),965,"0,732",1516,"0,702",914,"0,657",722,"0,85"
Rodeio Bonito (RS),965,"0,732",765,"0,733",1271,"0,636",1075,"0,842"
Boa Vista do Incra (RS),993,"0,731",1473,"0,703",1176,"0,641",257,"0,867"
Relvado (RS),993,"0,731",232,"0,765",2185,"0,588",238,"0,868"
Soledade (RS),993,"0,731",870,"0,727",1492,"0,625",390,"0,861"
Ilópolis (RS),1021,"0,73",321,"0,756",2045,"0,595",276,"0,866"
Guaíba (RS),1021,"0,73",784,"0,732",1209,"0,639",1515,"0,833"
Mariano Moro (RS),1021,"0,73",252,"0,763",1880,"0,604",1032,"0,843"
Cidreira (RS),1052,"0,729",817,"0,73",1492,"0,625",792,"0,848"
Roca Sales (RS),1052,"0,729",360,"0,753",1921,"0,602",610,"0,853"
Boa Vista do Sul (RS),1081,"0,728",190,"0,77",2210,"0,587",643,"0,852"
Tuparendi (RS),1081,"0,728",739,"0,734",1350,"0,632",1560,"0,832"
Cândido Godói (RS),1081,"0,728",1039,"0,72",1457,"0,627",610,"0,853"
Ipê (RS),1081,"0,728",398,"0,751",1633,"0,618",1603,"0,831"
Taquara (RS),1107,"0,727",349,"0,754",2352,"0,579",83,"0,88"
Mato Castelhano (RS),1107,"0,727",375,"0,752",1802,"0,608",1238,"0,839"
Coronel Pilar (RS),1107,"0,727",223,"0,766",1957,"0,6",1419,"0,835"
Sant'Ana do Livramento (RS),1107,"0,727",1166,"0,715",1271,"0,636",901,"0,846"
Jacutinga (RS),1133,"0,726",1473,"0,703",1271,"0,636",551,"0,855"
São Martinho (RS),1133,"0,726",739,"0,734",1433,"0,628",1647,"0,83"
Sapucaia do Sul (RS),1133,"0,726",897,"0,726",1517,"0,624",986,"0,844"
Santa Bárbara do Sul (RS),1154,"0,725",1136,"0,716",1308,"0,634",1128,"0,841"
Miraguaí (RS),1154,"0,725",532,"0,744",1712,"0,613",1315,"0,837"
Ponte Preta (RS),1154,"0,725",870,"0,727",1957,"0,6",135,"0,874"
Pontão (RS),1154,"0,725",1346,"0,708",1535,"0,623",319,"0,864"
São José do Sul (RS),1154,"0,725",166,"0,774",2157,"0,59",1370,"0,836"
Santa Cecília do Sul (RS),1154,"0,725",125,"0,781",2322,"0,581",1238,"0,839"
Ronda Alta (RS),1191,"0,724",832,"0,729",1957,"0,6",257,"0,867"
Marcelino Ramos (RS),1191,"0,724",715,"0,735",1633,"0,618",1464,"0,834"
Ivorá (RS),1191,"0,724",1248,"0,712",1921,"0,602",22,"0,886"
Doutor Ricardo (RS),1191,"0,724",435,"0,749",2084,"0,593",551,"0,855"
Ibiraiaras (RS),1191,"0,724",621,"0,739",1687,"0,615",1419,"0,835"
Cruzeiro do Sul (RS),1217,"0,723",494,"0,746",1822,"0,607",1515,"0,833"
Vespasiano Correa (RS),1217,"0,723",303,"0,758",2266,"0,584",551,"0,855"
Seberi (RS),1217,"0,723",1405,"0,706",1593,"0,62",303,"0,865"
Bom Progresso (RS),1217,"0,723",1576,"0,7",1133,"0,643",1183,"0,84"
Porto Xavier (RS),1217,"0,723",1967,"0,687",1433,"0,628",118,"0,876"
Barra do Rio Azul (RS),1217,"0,723",1473,"0,703",1232,"0,638",1075,"0,842"
Giruá (RS),1266,"0,721",1372,"0,707",1416,"0,629",1075,"0,842"
Vacaria (RS),1266,"0,721",596,"0,74",1857,"0,605",1281,"0,838"
Igrejinha (RS),1266,"0,721",435,"0,749",2531,"0,571",118,"0,876"
Palmitinho (RS),1301,"0,72",1372,"0,707",1350,"0,632",1370,"0,836"
São Valentim (RS),1301,"0,72",517,"0,745",1727,"0,612",2161,"0,82"
André da Rocha (RS),1301,"0,72",639,"0,738",1857,"0,605",1315,"0,837"
Faxinal do Soturno (RS),1301,"0,72",784,"0,732",2014,"0,597",581,"0,854"
Pinhal (RS),1301,"0,72",1547,"0,701",1517,"0,624",643,"0,852"
Caibaté (RS),1331,"0,719",1318,"0,709",1744,"0,611",501,"0,857"
Tramandaí (RS),1331,"0,719",870,"0,727",1835,"0,606",1075,"0,842"
Barão de Cotegipe (RS),1331,"0,719",517,"0,745",2084,"0,593",1075,"0,842"
Ciríaco (RS),1331,"0,719",937,"0,724",1957,"0,6",551,"0,855"
Cruzaltense (RS),1331,"0,719",937,"0,724",1857,"0,605",759,"0,849"
Três Cachoeiras (RS),1362,"0,718",989,"0,722",1835,"0,606",846,"0,847"
Nova Santa Rita (RS),1362,"0,718",1136,"0,716",1835,"0,606",610,"0,853"
Tupandi (RS),1362,"0,718",565,"0,742",2014,"0,597",1370,"0,836"
Engenho Velho (RS),1398,"0,717",715,"0,735",1744,"0,611",2112,"0,821"
São José do Herval (RS),1398,"0,717",1547,"0,701",1556,"0,622",846,"0,847"
Viamão (RS),1398,"0,717",1039,"0,72",2133,"0,591",276,"0,866"
Santo Antônio da Patrulha (RS),1398,"0,717",1091,"0,718",2065,"0,594",276,"0,866"
Mato Queimado (RS),1398,"0,717",1516,"0,702",1904,"0,603",204,"0,87"
Eldorado do Sul (RS),1398,"0,717",1111,"0,717",1782,"0,609",986,"0,844"
Ernestina (RS),1427,"0,716",1473,"0,703",1727,"0,612",581,"0,854"
Júlio de Castilhos (RS),1427,"0,716",765,"0,733",1921,"0,602",1515,"0,833"
Pouso Novo (RS),1454,"0,715",232,"0,765",2654,"0,566",943,"0,845"
Palmares do Sul (RS),1454,"0,715",918,"0,725",2111,"0,592",643,"0,852"
Putinga (RS),1454,"0,715",517,"0,745",2707,"0,563",147,"0,873"
Glorinha (RS),1486,"0,714",1136,"0,716",2084,"0,593",451,"0,859"
Mormaço (RS),1486,"0,714",715,"0,735",2427,"0,576",425,"0,86"
Canudos do Vale (RS),1514,"0,713",398,"0,751",2475,"0,574",1183,"0,84"
Portão (RS),1514,"0,713",918,"0,725",2266,"0,584",527,"0,856"
Itaqui (RS),1514,"0,713",1967,"0,687",1473,"0,626",1032,"0,843"
Venâncio Aires (RS),1546,"0,712",692,"0,736",1957,"0,6",2259,"0,818"
Jaguari (RS),1546,"0,712",739,"0,734",2633,"0,567",276,"0,866"
Sede Nova (RS),1546,"0,712",398,"0,751",3137,"0,543",22,"0,886"
Lindolfo Collor (RS),1546,"0,712",1248,"0,712",1945,"0,601",1075,"0,842"
Eugênio de Castro (RS),1546,"0,712",1678,"0,697",2266,"0,584",40,"0,885"
Erebango (RS),1546,"0,712",1915,"0,689",1473,"0,626",1315,"0,837"
Crissiumal (RS),1546,"0,712",1516,"0,702",1670,"0,616",1419,"0,835"
Santa Vitória do Palmar (RS),1546,"0,712",1318,"0,709",2133,"0,591",390,"0,861"
Sapiranga (RS),1574,"0,711",989,"0,722",1995,"0,598",1560,"0,832"
Morrinhos do Sul (RS),1574,"0,711",1039,"0,72",2084,"0,593",1075,"0,842"
Barracão (RS),1595,"0,71",1268,"0,711",2600,"0,568",40,"0,885"
Pinheirinho do Vale (RS),1595,"0,71",1217,"0,713",1822,"0,607",1747,"0,828"
Três Coroas (RS),1595,"0,71",596,"0,74",2266,"0,584",1704,"0,829"
Paulo Bento (RS),1595,"0,71",817,"0,73",2531,"0,571",473,"0,858"
São Pedro do Sul (RS),1638,"0,709",1649,"0,698",1615,"0,619",1951,"0,824"
Tupanciretã (RS),1638,"0,709",1008,"0,721",2035,"0,596",1747,"0,828"
Campos Borges (RS),1665,"0,708",1449,"0,704",1670,"0,616",2216,"0,819"
Tenente Portela (RS),1665,"0,708",1318,"0,709",1904,"0,603",1647,"0,83"
São Sepé (RS),1665,"0,708",1346,"0,708",2427,"0,576",181,"0,871"
Dom Pedrito (RS),1665,"0,708",1166,"0,715",2245,"0,585",792,"0,848"
Arroio do Tigre (RS),1696,"0,707",1346,"0,708",2174,"0,589",792,"0,848"
