Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade
Muliterno (RS),2199,"0,689",596,"0,74",3053,"0,547",2754,"0,808"
Butiá (RS),2199,"0,689",1858,"0,691",2816,"0,558",792,"0,848"
Tiradentes do Sul (RS),2199,"0,689",1424,"0,705",2578,"0,569",2407,"0,815"
Rolante (RS),2224,"0,688",1346,"0,708",2924,"0,553",1647,"0,83"
Roque Gonzales (RS),2224,"0,688",1967,"0,687",2707,"0,563",1032,"0,843"
Novo Cabrais (RS),2224,"0,688",1678,"0,697",3029,"0,548",643,"0,852"
Herval (RS),2251,"0,687",817,"0,73",3434,"0,527",1032,"0,843"
Planalto (RS),2251,"0,687",2318,"0,674",2014,"0,597",2805,"0,807"
Marques de Souza (RS),2251,"0,687",548,"0,743",3696,"0,515",759,"0,849"
São Lourenço do Sul (RS),2251,"0,687",989,"0,722",3419,"0,528",759,"0,849"
Aceguá (RS),2251,"0,687",1473,"0,703",3183,"0,541",643,"0,852"
Trindade do Sul (RS),2251,"0,687",2295,"0,675",1766,"0,61",3594,"0,787"
Salto do Jacuí (RS),2251,"0,687",1797,"0,693",2816,"0,558",1315,"0,837"
Santo Antônio das Missões (RS),2282,"0,686",2375,"0,672",2427,"0,576",1419,"0,835"
General Câmara (RS),2282,"0,686",1449,"0,704",2953,"0,552",1560,"0,832"
Jóia (RS),2282,"0,686",2405,"0,671",2509,"0,572",1128,"0,841"
Gramado dos Loureiros (RS),2309,"0,685",2613,"0,662",2266,"0,584",1560,"0,832"
São Vicente do Sul (RS),2309,"0,685",1649,"0,698",2924,"0,553",1603,"0,831"
São Francisco de Paula (RS),2309,"0,685",1547,"0,701",3300,"0,534",425,"0,86"
Liberato Salzano (RS),2309,"0,685",2149,"0,68",2293,"0,583",2661,"0,81"
Erval Seco (RS),2309,"0,685",2513,"0,666",2174,"0,589",2112,"0,821"
Maçambará (RS),2332,"0,684",2562,"0,664",2338,"0,58",1560,"0,832"
Toropi (RS),2359,"0,683",2149,"0,68",2578,"0,569",2064,"0,822"
Forquetinha (RS),2359,"0,683",548,"0,743",4259,"0,484",22,"0,886"
Sete de Setembro (RS),2359,"0,683",2090,"0,682",2399,"0,577",2661,"0,81"
Progresso (RS),2359,"0,683",1424,"0,705",3480,"0,525",390,"0,861"
Restinga Seca (RS),2359,"0,683",1318,"0,709",3163,"0,542",1747,"0,828"
Paverama (RS),2359,"0,683",1547,"0,701",3183,"0,541",1183,"0,84"
Formigueiro (RS),2386,"0,682",1890,"0,69",3011,"0,549",1281,"0,838"
Ametista do Sul (RS),2386,"0,682",1678,"0,697",2729,"0,562",2696,"0,809"
Maquiné (RS),2386,"0,682",1741,"0,695",3618,"0,519",83,"0,88"
Itatiba do Sul (RS),2412,"0,681",1707,"0,696",2633,"0,567",3077,"0,801"
Minas do Leão (RS),2412,"0,681",548,"0,743",3716,"0,514",1846,"0,826"
Erval Grande (RS),2412,"0,681",1217,"0,713",3961,"0,501",40,"0,885"
Esmeralda (RS),2439,"0,68",2448,"0,669",2578,"0,569",1798,"0,827"
Entre-Ijuís (RS),2439,"0,68",1817,"0,692",3029,"0,548",1704,"0,829"
Araricá (RS),2462,"0,679",1707,"0,696",3053,"0,547",1951,"0,824"
Estrela Velha (RS),2462,"0,679",1372,"0,707",2776,"0,56",3428,"0,792"
Pedro Osório (RS),2481,"0,678",2061,"0,683",2967,"0,551",1704,"0,829"
Pinhal Grande (RS),2481,"0,678",2375,"0,672",2399,"0,577",2940,"0,804"
Sagrada Família (RS),2481,"0,678",2448,"0,669",2035,"0,596",3704,"0,782"
Santa Maria do Herval (RS),2524,"0,676",1136,"0,716",3792,"0,51",901,"0,846"
Paraíso do Sul (RS),2524,"0,676",1817,"0,692",3249,"0,537",1603,"0,831"
Novo Tiradentes (RS),2524,"0,676",2182,"0,679",2654,"0,566",2899,"0,805"
Boa Vista das Missões (RS),2524,"0,676",2513,"0,666",2757,"0,561",1905,"0,825"
São Francisco de Assis (RS),2545,"0,675",2119,"0,681",2953,"0,552",2259,"0,818"
Cerro Grande (RS),2573,"0,674",2266,"0,676",2707,"0,563",2990,"0,803"
Candelária (RS),2573,"0,674",1605,"0,699",3571,"0,521",1075,"0,842"
Braga (RS),2573,"0,674",2732,"0,656",2707,"0,563",1647,"0,83"
Inhacorá (RS),2598,"0,673",2883,"0,647",2245,"0,585",2805,"0,807"
Capão do Cipó (RS),2621,"0,672",3034,"0,639",2953,"0,552",425,"0,86"
Alecrim (RS),2621,"0,672",2061,"0,683",3549,"0,522",643,"0,852"
Sentinela do Sul (RS),2642,"0,671",2405,"0,671",3100,"0,545",1846,"0,826"
Garruchos (RS),2642,"0,671",2709,"0,657",2924,"0,553",1515,"0,833"
Alpestre (RS),2642,"0,671",1576,"0,7",3137,"0,543",3329,"0,795"
Barra do Ribeiro (RS),2663,"0,67",1858,"0,691",3402,"0,529",2064,"0,822"
Dois Irmãos das Missões (RS),2663,"0,67",2908,"0,646",2245,"0,585",3252,"0,797"
Lagoa Bonita do Sul (RS),2663,"0,67",1707,"0,696",3223,"0,539",3077,"0,801"
Itati (RS),2691,"0,669",1817,"0,692",3502,"0,524",1798,"0,827"
Pirapó (RS),2691,"0,669",2732,"0,656",2924,"0,553",1951,"0,824"
Arroio do Padre (RS),2691,"0,669",321,"0,756",4672,"0,461",425,"0,86"
São Miguel das Missões (RS),2738,"0,667",2318,"0,674",3249,"0,537",2112,"0,821"
Bom Jesus (RS),2759,"0,666",1678,"0,697",3792,"0,51",1560,"0,832"
Faxinalzinho (RS),2759,"0,666",2908,"0,646",2531,"0,571",3077,"0,801"
Quevedos (RS),2776,"0,665",2490,"0,667",3300,"0,534",1951,"0,824"
Coronel Bicaco (RS),2776,"0,665",2490,"0,667",2988,"0,55",2990,"0,803"
Itapuca (RS),2802,"0,664",1318,"0,709",4066,"0,495",1464,"0,834"
São Pedro das Missões (RS),2802,"0,664",2952,"0,644",2654,"0,566",2940,"0,804"
Mostardas (RS),2802,"0,664",1547,"0,701",4095,"0,493",759,"0,849"
Floriano Peixoto (RS),2828,"0,663",1547,"0,701",4231,"0,486",581,"0,854"
São José dos Ausentes (RS),2828,"0,663",2318,"0,674",3183,"0,541",3077,"0,801"
Novo Machado (RS),2828,"0,663",2318,"0,674",3137,"0,543",3292,"0,796"
Santa Margarida do Sul (RS),2828,"0,663",1858,"0,691",4259,"0,484",204,"0,87"
